#
# Intrigue Menu Decision
edmp_rule_summary_show;(ED:MP) Rule Summary;;;;;;;;;;;;;x
edmp_rule_summary_show_desc;Show a list of all rules which are currently enforced by the §M(ED:MP)§! mod;;;;;;;;;;;;;x
#
# Decision tooltips
edmp_rule_summary_is_not_currently_open_for_this_character_tt;[This.GetTitledFirstName] does NOT currently have the §M(ED:MP)§! Rule Summary open;;;;;;;;;;;;;x
edmp_rule_summary_has_been_open_for_this_character_for_6_months_tt;[This.GetTitledFirstName] has (somehow) had the §M(ED:MP)§! Rule Summary open for more than 6 months;;;;;;;;;;;;;x
edmp_rule_summary_popup_event_tt;Opens the §M(ED:MP)§! Rule Summary;;;;;;;;;;;;;x
#
# Event
edmp_rs_1000_title;(ED:MP) Rule Summary;;;;;;;;;;;;;x
edmp_rs_1000_desc;Casus Belli Rules:\n- Invasions: [edmp_rule_summary_invasions]\n- Subjugations: [edmp_rule_summary_subjugations]\n\nRealm Size:[edmp_rule_summary_realm_size];;;;;;;;;;;;;x
edmp_rs_1000_evtopt_exit;Exit;;;;;;;;;;;;;x
#
# Custom loc - General
edmp_rule_summary_error;!!!ERROR!!!;;;;;;;;;;;;;x
edmp_rule_unchanged_compatibility_mode;N/A (Compatibility Mode);;;;;;;;;;;;;x
#
# Custom loc - Invasions
edmp_rule_summary_invasions_disabled_for_everyone_by_game_rule;Disabled for human players (by game rule, not this mod);;;;;;;;;;;;;x
edmp_rule_summary_invasions_disabled_for_everyone;Disabled for human players;;;;;;;;;;;;;x
edmp_rule_summary_invasions_permissions_managed_individually;Human players require host permission;;;;;;;;;;;;;x
edmp_rule_summary_invasions_enabled_for_everyone;Enabled for human players and AI;;;;;;;;;;;;;x
#
# Custom loc - Subjugations
edmp_rule_summary_subjugations_are_enabled;Enabled for human players and AI;;;;;;;;;;;;;x
edmp_rule_summary_subjugations_of_duke_plus_are_disabled_without_explicit_permission;Human players require host permission to subjugate dukes, kings and emperors;;;;;;;;;;;;;x
edmp_rule_summary_subjugations_of_king_plus_are_disabled_without_explicit_permission;Human players require host permission to subjugate kings and emperors;;;;;;;;;;;;;x
edmp_rule_summary_subjugations_of_emperor_plus_are_disabled_without_explicit_permission;Human players require host permission to subjugate emperors;;;;;;;;;;;;;x
#
# Custom loc - Realm Size
edmp_rule_summary_realm_size_enabled;\n- Status: Limited for Human Players\n- Realm Size Limit: [Root.global_edmp_realm_size_limit.GetValue]\n- Contribution of Tribal Empty Holding Slots: [Root.global_edmp_realm_size_empty_holdings_tribal.GetValue]\n- Contribution of Nomadic Empty Holding Slots:  [Root.global_edmp_realm_size_empty_holdings_nomadic.GetValue];;;;;;;;;;;;;x
edmp_rule_summary_realm_size_disabled;\n- Status: Not Limited;;;;;;;;;;;;;x
